movementId,pokemonType,power,durationMs,damageWindowStartMs,damageWindowEndMs,energyDelta
WRAP,NORMAL,60.0,3000.0,2150.0,2800.0,-33.0
HYPER BEAM,NORMAL,150.0,4000.0,3500.0,3800.0,-100.0
DARK PULSE,DARK,80.0,3000.0,1400.0,2300.0,-50.0
SLUDGE,POISON,50.0,2000.0,1100.0,1450.0,-33.0
VICE GRIP,NORMAL,35.0,2000.0,1200.0,1600.0,-33.0
FLAME WHEEL,FIRE,55.0,2500.0,1900.0,2200.0,-50.0
MEGAHORN,BUG,105.0,2000.0,1500.0,1700.0,-100.0
FLAMETHROWER,FIRE,65.0,2000.0,1300.0,1500.0,-50.0
DIG,GROUND,100.0,4500.0,2600.0,4300.0,-50.0
CROSS CHOP,FIGHTING,50.0,1500.0,800.0,1200.0,-50.0
PSYBEAM,PSYCHIC,65.0,3000.0,1100.0,2500.0,-50.0
EARTHQUAKE,GROUND,140.0,3500.0,2600.0,3400.0,-100.0
STONE EDGE,ROCK,105.0,2500.0,900.0,2300.0,-100.0
ICE PUNCH,ICE,50.0,2000.0,1400.0,1700.0,-33.0
HEART STAMP,PSYCHIC,40.0,2000.0,1200.0,1700.0,-33.0
DISCHARGE,ELECTRIC,65.0,2500.0,1700.0,2100.0,-33.0
FLASH CANNON,STEEL,100.0,2500.0,1400.0,2300.0,-100.0
DRILL PECK,FLYING,70.0,2500.0,1900.0,2300.0,-33.0
ICE BEAM,ICE,95.0,3500.0,1500.0,3000.0,-50.0
BLIZZARD,ICE,130.0,3000.0,1400.0,2800.0,-100.0
HEAT WAVE,FIRE,95.0,3000.0,1700.0,2800.0,-100.0
AERIAL ACE,FLYING,55.0,2500.0,2000.0,2300.0,-33.0
DRILL RUN,GROUND,85.0,3000.0,1900.0,2800.0,-50.0
PETAL BLIZZARD,GRASS,110.0,2500.0,1600.0,2200.0,-100.0
MEGA DRAIN,GRASS,25.0,2500.0,850.0,1900.0,-50.0
BUG BUZZ,BUG,95.0,3500.0,1800.0,2900.0,-50.0
POISON FANG,POISON,30.0,1500.0,700.0,1200.0,-33.0
NIGHT SLASH,DARK,45.0,2000.0,1100.0,1800.0,-33.0
BUBBLE BEAM,WATER,45.0,2000.0,1550.0,1800.0,-33.0
SUBMISSION,FIGHTING,55.0,2000.0,1600.0,1800.0,-50.0
LOW SWEEP,FIGHTING,40.0,2000.0,1400.0,1750.0,-33.0
AQUA JET,WATER,45.0,2500.0,1600.0,2000.0,-33.0
AQUA TAIL,WATER,50.0,2000.0,1300.0,1750.0,-33.0
SEED BOMB,GRASS,55.0,2000.0,1100.0,1800.0,-33.0
PSYSHOCK,PSYCHIC,60.0,2500.0,1800.0,2400.0,-33.0
ANCIENT POWER,ROCK,70.0,3500.0,2850.0,3100.0,-33.0
ROCK TOMB,ROCK,65.0,3000.0,2050.0,2800.0,-50.0
ROCK SLIDE,ROCK,75.0,2500.0,1300.0,2400.0,-50.0
